Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona5;2020-03-05 00:00:00+01:00;309
uniqueUserZone;OWM Zona4;2020-03-05 00:00:00+01:00;407
uniqueUserZone;OWM Zona3;2020-03-05 00:00:00+01:00;565
uniqueUserZone;OWM Zona2;2020-03-05 00:00:00+01:00;341
uniqueUserZone;OWM Zona1;2020-03-05 00:00:00+01:00;828
uniqueUserZone;OWM Zona9;2020-03-04 00:00:00+01:00;422
uniqueUserZone;OWM Zona8;2020-03-04 00:00:00+01:00;424
uniqueUserZone;OWM Zona7;2020-03-04 00:00:00+01:00;475
uniqueUserZone;OWM Zona6;2020-03-04 00:00:00+01:00;805
uniqueUserZone;OWM Zona5;2020-03-04 00:00:00+01:00;338
uniqueUserZone;OWM Zona4;2020-03-04 00:00:00+01:00;418
uniqueUserZone;OWM Zona3;2020-03-04 00:00:00+01:00;640
uniqueUserZone;OWM Zona2;2020-03-04 00:00:00+01:00;409
uniqueUserZone;OWM Zona1;2020-03-04 00:00:00+01:00;1035
uniqueUserZone;OWM Zona9;2020-03-03 00:00:00+01:00;408
uniqueUserZone;OWM Zona8;2020-03-03 00:00:00+01:00;431
uniqueUserZone;OWM Zona7;2020-03-03 00:00:00+01:00;507
uniqueUserZone;OWM Zona6;2020-03-03 00:00:00+01:00;720
uniqueUserZone;OWM Zona5;2020-03-03 00:00:00+01:00;303
uniqueUserZone;OWM Zona4;2020-03-03 00:00:00+01:00;430
uniqueUserZone;OWM Zona3;2020-03-03 00:00:00+01:00;642
uniqueUserZone;OWM Zona2;2020-03-03 00:00:00+01:00;432
uniqueUserZone;OWM Zona1;2020-03-03 00:00:00+01:00;999
uniqueUserZone;OWM Zona9;2020-03-02 00:00:00+01:00;287
uniqueUserZone;OWM Zona8;2020-03-02 00:00:00+01:00;334
uniqueUserZone;OWM Zona7;2020-03-02 00:00:00+01:00;372
uniqueUserZone;OWM Zona6;2020-03-02 00:00:00+01:00;514
uniqueUserZone;OWM Zona5;2020-03-02 00:00:00+01:00;232
uniqueUserZone;OWM Zona4;2020-03-02 00:00:00+01:00;306
uniqueUserZone;OWM Zona3;2020-03-02 00:00:00+01:00;429
uniqueUserZone;OWM Zona2;2020-03-02 00:00:00+01:00;309
uniqueUserZone;OWM Zona1;2020-03-02 00:00:00+01:00;686
uniqueUserZone;OWM Zona9;2020-03-01 00:00:00+01:00;272
uniqueUserZone;OWM Zona8;2020-03-01 00:00:00+01:00;314
uniqueUserZone;OWM Zona7;2020-03-01 00:00:00+01:00;357
uniqueUserZone;OWM Zona6;2020-03-01 00:00:00+01:00;486
uniqueUserZone;OWM Zona5;2020-03-01 00:00:00+01:00;234
uniqueUserZone;OWM Zona4;2020-03-01 00:00:00+01:00;324
uniqueUserZone;OWM Zona3;2020-03-01 00:00:00+01:00;445
uniqueUserZone;OWM Zona2;2020-03-01 00:00:00+01:00;294
